source_object,evidence_id,graph_object_type,graph_object_id,ir_object_id,question_or_decision,generated_code_location,validation_result
Architecture Diagram to IaC Compiler.pptx:slide3.xml:6,ev-bd16cd0253e1e725,node,ev-bd16cd0253e1e725,ev-bd16cd0253e1e725,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L372,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:7,ev-2a528764790c507e,node,ev-2a528764790c507e,ev-2a528764790c507e,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L380,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:8,ev-5aed382874d06b29,node,ev-5aed382874d06b29,ev-5aed382874d06b29,none,main.bicep#L388,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:9,ev-3314c6c139e29da3,node,ev-3314c6c139e29da3,ev-3314c6c139e29da3,none,main.bicep#L396,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:10,ev-5d0e3ff5036f256b,node,ev-5d0e3ff5036f256b,ev-5d0e3ff5036f256b,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L404,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:12,ev-92c04b84fb3bb8b3,node,ev-92c04b84fb3bb8b3,ev-92c04b84fb3bb8b3,none,main.bicep#L412,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:13,ev-4b18b2606c7ed4e4,node,ev-4b18b2606c7ed4e4,ev-4b18b2606c7ed4e4,none,main.bicep#L420,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:14,ev-ac8abae6dec74b96,node,ev-ac8abae6dec74b96,ev-ac8abae6dec74b96,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L428,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:16,ev-4695597240ee5ba1,node,ev-4695597240ee5ba1,ev-4695597240ee5ba1,none,main.bicep#L436,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:17,ev-3027640f7481d696,node,ev-3027640f7481d696,ev-3027640f7481d696,none,main.bicep#L444,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:18,ev-7dd0da1dfbb4cc0b,node,ev-7dd0da1dfbb4cc0b,ev-7dd0da1dfbb4cc0b,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L452,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:20,ev-bd7a69324c4dc7c6,node,ev-bd7a69324c4dc7c6,ev-bd7a69324c4dc7c6,none,main.bicep#L460,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:21,ev-b2158c5943c148b1,node,ev-b2158c5943c148b1,ev-b2158c5943c148b1,none,main.bicep#L468,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:22,ev-52e6cba79e5bd038,node,ev-52e6cba79e5bd038,ev-52e6cba79e5bd038,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L476,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:24,ev-b3c2cf21a8d93962,node,ev-b3c2cf21a8d93962,ev-b3c2cf21a8d93962,none,main.bicep#L484,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:25,ev-119cf002bb775092,node,ev-119cf002bb775092,ev-119cf002bb775092,none,main.bicep#L492,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:26,ev-c2a65cb837657938,node,ev-c2a65cb837657938,ev-c2a65cb837657938,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L500,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:28,ev-6b2d425c8eb1e9b1,node,ev-6b2d425c8eb1e9b1,ev-6b2d425c8eb1e9b1,none,main.bicep#L508,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:29,ev-7ab3913f55bfcc98,node,ev-7ab3913f55bfcc98,ev-7ab3913f55bfcc98,none,main.bicep#L516,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:30,ev-0fbe96882bce661d,node,ev-0fbe96882bce661d,ev-0fbe96882bce661d,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L524,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:32,ev-a4f961578d07f6b4,node,ev-a4f961578d07f6b4,ev-a4f961578d07f6b4,none,main.bicep#L532,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:33,ev-16c92eaa23256f12,node,ev-16c92eaa23256f12,ev-16c92eaa23256f12,none,main.bicep#L540,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:34,ev-20194b1e1e0d1398,node,ev-20194b1e1e0d1398,ev-20194b1e1e0d1398,none,main.bicep#L548,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:35,ev-6208b434ca6eb94e,node,ev-6208b434ca6eb94e,ev-6208b434ca6eb94e,none,main.bicep#L556,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:36,ev-a5b69a17a0698bfc,node,ev-a5b69a17a0698bfc,ev-a5b69a17a0698bfc,none,main.bicep#L564,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:2,ev-97dd4242e290ade5,node,ev-97dd4242e290ade5,ev-97dd4242e290ade5,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L572,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:3,ev-0c73324d378d4747,node,ev-0c73324d378d4747,ev-0c73324d378d4747,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L580,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:4,ev-94ffeb786db13a5a,node,ev-94ffeb786db13a5a,ev-94ffeb786db13a5a,none,main.bicep#L588,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:5,ev-eceaff7c52a752f3,node,ev-eceaff7c52a752f3,ev-eceaff7c52a752f3,none,main.bicep#L596,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:6,ev-de7160a40eb9223f,node,ev-de7160a40eb9223f,ev-de7160a40eb9223f,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L604,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:7,ev-8d88d8a5cbea7778,node,ev-8d88d8a5cbea7778,ev-8d88d8a5cbea7778,none,main.bicep#L612,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:8,ev-556fa3952356eba3,node,ev-556fa3952356eba3,ev-556fa3952356eba3,none,main.bicep#L620,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:9,ev-8dcb1b0897f09e14,edge,ev-8dcb1b0897f09e14,,question:LOW_EDGE_CONFIDENCE,main.bicep#L4116,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:10,ev-1dc24dbc285f24c0,node,ev-1dc24dbc285f24c0,ev-1dc24dbc285f24c0,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L628,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:11,ev-5fc729aa7775f648,node,ev-5fc729aa7775f648,ev-5fc729aa7775f648,none,main.bicep#L636,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:12,ev-101ce9d644c726b2,node,ev-101ce9d644c726b2,ev-101ce9d644c726b2,none,main.bicep#L644,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:13,ev-77c3cc49a7491253,edge,ev-77c3cc49a7491253,,question:LOW_EDGE_CONFIDENCE,main.bicep#L4122,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:14,ev-86f2aa8abe74e4ed,node,ev-86f2aa8abe74e4ed,ev-86f2aa8abe74e4ed,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L652,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:15,ev-9b9c59e7d5f40a9c,node,ev-9b9c59e7d5f40a9c,ev-9b9c59e7d5f40a9c,none,main.bicep#L660,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:16,ev-71edcf2d343084bf,node,ev-71edcf2d343084bf,ev-71edcf2d343084bf,none,main.bicep#L668,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:17,ev-3db259741211d84f,edge,ev-3db259741211d84f,,question:LOW_EDGE_CONFIDENCE,main.bicep#L4128,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:18,ev-22f7448237e4d4c8,node,ev-22f7448237e4d4c8,ev-22f7448237e4d4c8,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L676,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:19,ev-43d26d357ccb054b,node,ev-43d26d357ccb054b,ev-43d26d357ccb054b,none,main.bicep#L684,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:20,ev-3a61df9582d50494,node,ev-3a61df9582d50494,ev-3a61df9582d50494,none,main.bicep#L692,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:21,ev-959b0ba5386a4a38,edge,ev-959b0ba5386a4a38,,question:LOW_EDGE_CONFIDENCE,main.bicep#L4134,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:22,ev-5149950fac6a6cbe,node,ev-5149950fac6a6cbe,ev-5149950fac6a6cbe,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L700,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:23,ev-89d21ce030230074,node,ev-89d21ce030230074,ev-89d21ce030230074,none,main.bicep#L708,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:24,ev-379fc77495cdc911,node,ev-379fc77495cdc911,ev-379fc77495cdc911,none,main.bicep#L716,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:25,ev-8c6ff4142e381624,edge,ev-8c6ff4142e381624,,question:LOW_EDGE_CONFIDENCE,main.bicep#L4140,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:26,ev-516e77d45158cbfc,node,ev-516e77d45158cbfc,ev-516e77d45158cbfc,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L724,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:27,ev-a9789bf0b61362cc,node,ev-a9789bf0b61362cc,ev-a9789bf0b61362cc,none,main.bicep#L732,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:28,ev-702ad9ca95500d26,node,ev-702ad9ca95500d26,ev-702ad9ca95500d26,none,main.bicep#L740,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:29,ev-b36e6b94371dde32,edge,ev-b36e6b94371dde32,,none,main.bicep#L4146,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:30,ev-1b4db8aa98fa02e9,node,ev-1b4db8aa98fa02e9,ev-1b4db8aa98fa02e9,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L748,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:31,ev-b601b4a18aff5358,node,ev-b601b4a18aff5358,ev-b601b4a18aff5358,none,main.bicep#L756,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:32,ev-45a98f96cdedf75a,node,ev-45a98f96cdedf75a,ev-45a98f96cdedf75a,none,main.bicep#L764,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:33,ev-10f715d534504b3f,node,ev-10f715d534504b3f,ev-10f715d534504b3f,none,main.bicep#L772,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:34,ev-94af7ef7e28faebc,node,ev-94af7ef7e28faebc,ev-94af7ef7e28faebc,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L780,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:36,ev-a9cc395f52156f2a,node,ev-a9cc395f52156f2a,ev-a9cc395f52156f2a,none,main.bicep#L788,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:37,ev-578ae614d29a5aaa,node,ev-578ae614d29a5aaa,ev-578ae614d29a5aaa,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L796,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:39,ev-251cc5e33f8e50bb,node,ev-251cc5e33f8e50bb,ev-251cc5e33f8e50bb,none,main.bicep#L804,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:40,ev-ca9b20ad9698e4a4,node,ev-ca9b20ad9698e4a4,ev-ca9b20ad9698e4a4,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L812,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:42,ev-6b5377d47403e561,node,ev-6b5377d47403e561,ev-6b5377d47403e561,none,main.bicep#L820,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:43,ev-e90625f48d321c5f,node,ev-e90625f48d321c5f,ev-e90625f48d321c5f,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L828,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:45,ev-053364081ccf1d13,node,ev-053364081ccf1d13,ev-053364081ccf1d13,none,main.bicep#L836,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:46,ev-c1a8ba179fdd963d,node,ev-c1a8ba179fdd963d,ev-c1a8ba179fdd963d,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L844,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:48,ev-683ba269d7eb294e,node,ev-683ba269d7eb294e,ev-683ba269d7eb294e,none,main.bicep#L852,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:49,ev-f7b395e027c1068b,node,ev-f7b395e027c1068b,ev-f7b395e027c1068b,none,main.bicep#L860,passed
Architecture Diagram to IaC Compiler.pptx:slide4.xml:50,ev-243585c9eba7c095,node,ev-243585c9eba7c095,ev-243585c9eba7c095,none,main.bicep#L868,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:2,ev-ae0b0374064523e0,node,ev-ae0b0374064523e0,ev-ae0b0374064523e0,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L876,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:3,ev-fbde41f8883158a5,node,ev-fbde41f8883158a5,ev-fbde41f8883158a5,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L884,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:4,ev-ea3de8ea42e147b9,node,ev-ea3de8ea42e147b9,ev-ea3de8ea42e147b9,none,main.bicep#L892,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:5,ev-e45c76a11f5cdec9,node,ev-e45c76a11f5cdec9,ev-e45c76a11f5cdec9,none,main.bicep#L900,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:6,ev-b98eaa1279601d5b,node,ev-b98eaa1279601d5b,ev-b98eaa1279601d5b,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L908,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:7,ev-753285ede1f31d1e,node,ev-753285ede1f31d1e,ev-753285ede1f31d1e,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L916,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:8,ev-49d8ad23a31fe75a,node,ev-49d8ad23a31fe75a,ev-49d8ad23a31fe75a,none,main.bicep#L924,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:9,ev-6e934c108afc1e99,node,ev-6e934c108afc1e99,ev-6e934c108afc1e99,none,main.bicep#L932,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:10,ev-88df3c0b350c460d,node,ev-88df3c0b350c460d,ev-88df3c0b350c460d,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L940,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:11,ev-533902aa8fdb3800,node,ev-533902aa8fdb3800,ev-533902aa8fdb3800,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L948,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:12,ev-9271f02c7a3e1fee,node,ev-9271f02c7a3e1fee,ev-9271f02c7a3e1fee,none,main.bicep#L956,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:13,ev-e783e85f949efaed,node,ev-e783e85f949efaed,ev-e783e85f949efaed,none,main.bicep#L964,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:14,ev-527a5a983bd083ef,node,ev-527a5a983bd083ef,ev-527a5a983bd083ef,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L972,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:15,ev-8c0c6b8c649f7a2c,node,ev-8c0c6b8c649f7a2c,ev-8c0c6b8c649f7a2c,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L980,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:16,ev-9df26ce2dcab0b9d,node,ev-9df26ce2dcab0b9d,ev-9df26ce2dcab0b9d,none,main.bicep#L988,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:17,ev-c86a1847ab7e3719,node,ev-c86a1847ab7e3719,ev-c86a1847ab7e3719,none,main.bicep#L996,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:18,ev-72895c21330f19b4,node,ev-72895c21330f19b4,ev-72895c21330f19b4,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L1004,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:19,ev-808d6bce36389382,node,ev-808d6bce36389382,ev-808d6bce36389382,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L1012,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:20,ev-5ae69cbea5c5261e,node,ev-5ae69cbea5c5261e,ev-5ae69cbea5c5261e,none,main.bicep#L1020,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:21,ev-79b5d0e5cc3a93f7,node,ev-79b5d0e5cc3a93f7,ev-79b5d0e5cc3a93f7,none,main.bicep#L1028,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:22,ev-957708e8d6c3348a,node,ev-957708e8d6c3348a,ev-957708e8d6c3348a,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L1036,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:23,ev-4f36d5dff4e18da5,node,ev-4f36d5dff4e18da5,ev-4f36d5dff4e18da5,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L1044,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:24,ev-c5b7991fccb16809,node,ev-c5b7991fccb16809,ev-c5b7991fccb16809,none,main.bicep#L1052,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:25,ev-d385985c05b16a39,node,ev-d385985c05b16a39,ev-d385985c05b16a39,none,main.bicep#L1060,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:26,ev-bd6caefdc037b3c0,node,ev-bd6caefdc037b3c0,ev-bd6caefdc037b3c0,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L1068,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:27,ev-f40f6c83f72d09f2,node,ev-f40f6c83f72d09f2,ev-f40f6c83f72d09f2,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L1076,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:28,ev-9a67d2d37b41d695,node,ev-9a67d2d37b41d695,ev-9a67d2d37b41d695,none,main.bicep#L1084,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:29,ev-67ff09f5d58945d9,node,ev-67ff09f5d58945d9,ev-67ff09f5d58945d9,none,main.bicep#L1092,passed
